output_dl1:2048:8:1:l:dl1.miss_rate                0.3732 # miss rate (i.e., misses/ref)
output_dl1:1024:8:2:l:dl1.miss_rate                0.3726 # miss rate (i.e., misses/ref)
output_dl1:512:8:4:l:dl1.miss_rate                0.3677 # miss rate (i.e., misses/ref)
output_dl1:256:8:8:l:dl1.miss_rate                0.3673 # miss rate (i.e., misses/ref)
output_dl1:128:8:16:l:dl1.miss_rate                0.3673 # miss rate (i.e., misses/ref)
output_dl1:1:8:2048:l:dl1.miss_rate                0.3668 # miss rate (i.e., misses/ref)
output_dl1:1024:16:1:l:dl1.miss_rate                0.1968 # miss rate (i.e., misses/ref)
output_dl1:512:16:2:l:dl1.miss_rate                0.1950 # miss rate (i.e., misses/ref)
output_dl1:256:16:4:l:dl1.miss_rate                0.1918 # miss rate (i.e., misses/ref)
output_dl1:128:16:8:l:dl1.miss_rate                0.1910 # miss rate (i.e., misses/ref)
output_dl1:64:16:16:l:dl1.miss_rate                0.1910 # miss rate (i.e., misses/ref)
output_dl1:1:16:1024:l:dl1.miss_rate                0.1904 # miss rate (i.e., misses/ref)
output_dl1:512:32:1:l:dl1.miss_rate                0.1061 # miss rate (i.e., misses/ref)
output_dl1:256:32:2:l:dl1.miss_rate                0.1044 # miss rate (i.e., misses/ref)
output_dl1:128:32:4:l:dl1.miss_rate                0.1024 # miss rate (i.e., misses/ref)
output_dl1:64:32:8:l:dl1.miss_rate                0.1018 # miss rate (i.e., misses/ref)
output_dl1:32:32:16:l:dl1.miss_rate                0.1018 # miss rate (i.e., misses/ref)
output_dl1:1:32:512:l:dl1.miss_rate                0.1009 # miss rate (i.e., misses/ref)
output_dl1:256:64:1:l:dl1.miss_rate                0.0604 # miss rate (i.e., misses/ref)
output_dl1:128:64:2:l:dl1.miss_rate                0.0587 # miss rate (i.e., misses/ref)
output_dl1:64:64:4:l:dl1.miss_rate                0.0578 # miss rate (i.e., misses/ref)
output_dl1:32:64:8:l:dl1.miss_rate                0.0570 # miss rate (i.e., misses/ref)
output_dl1:16:64:16:l:dl1.miss_rate                0.0568 # miss rate (i.e., misses/ref)
output_dl1:1:64:256:l:dl1.miss_rate                0.0559 # miss rate (i.e., misses/ref)
